event_date,year,assoc_actor_1,assoc_actor_2,admin1,admin2,location,latitude,longitude,source,notes,fatalities,tags
06 January 2021,2021,Proud Boys,BLM: Black Lives Matter,Ohio,Franklin,Columbus,39.9613,-82.9991,10TV; 13ABC; Columbus Dispatch; Crowd Counting Consortium; Highland County Press; Political Research Associates; TiffinOhio,"On 6 January 2021, hundreds of people including members of the Proud Boys and Trump supporters, some carrying weapons including firearms, gathered for a 'Stop the Steal' rally near the Statehouse in Columbus (Ohio) to demonstrate against the congressional certification of Democratic President-Elect Joe Biden. About 10 counter demonstrators, some supporting BLM, were present. Two fights between the groups broke out with demonstrators throwing punches and using batons. Police were on the scene and helped break up fights but did not make any arrests.",0,armed; counter-demonstration; crowd size=hundreds; stop the steal
06 January 2021,2021,Women (United States); Proud Boys; Patriot Prayer; BLM: Black Lives Matter,,Oregon,Marion,Salem,44.9385,-123.0305,Albany Democrat-Herald; Facebook; KOIN6; MilitiaWatch; Political Research Associates; Portland Mercury; Statesman Journal; Twitter; US News & World Report,"On 6 January 2021, 300 people gathered for an 'Operation Occupy the Capital' demonstration at the Oregon State Capitol in Salem (Oregon) in solidarity with nationwide demonstrations against the Presidential election results amid claims of 'voter fraud,' in support of President Trump and against Oregon coronavirus restrictions. The event was promoted by Oregon Women for Trump. The demonstrators burned an effigy of Oregon Governor Brown because of her coronavirus restrictions. A group of 50 Black Lives Matter demonstrators appeared across the street as counter-demonstrators. Proud Boys fired paintballs and smoke grenades at the counter-demonstrators who responded with fireworks and smoke bombs. The demonstration escalated to physical altercations. One counter-demonstrator was taken to the hospital for injuries sustained during the altercations. After the altercations, police declared an unlawful assembly and fired pepper balls to disperse demonstrators. Police arrested two demonstrators, one of whom is affiliated with Patriot Prayer and the Proud Boys. The other arrestee was trying to break into the capitol building.",0,counter-demonstration; crowd size=300; stop the steal
06 January 2021,2021,Boogaloo Boys; Christian Group (United States); Civilians (United States); Former Military Forces of the United States (2017-2021); GOP: Republican Party; Government of the United States (2017-2021); Journalists (United States); Latin American Group (United States); Mamalitia; NSC: Nationalist Social Club; Oath Keepers; Patriot Boys of North Texas; Proud Boys; QAnon; Sons of Liberty; Super Happy Fun America; Three Percenters (III%); Women (United States); B Squad; Groypers; Military Forces of the United States (2017-2021) National Guard; Sovereign Citizens Movement,Civilians (United States); Journalists (United States); Military Forces of the United States (2017-2021) National Guard; Police Forces of the United States (2017-2021) Capitol Police; Police Forces of the United States (2017-2021) Federal Bureau of Investigation,District of Columbia,District of Columbia,Washington DC - National Mall,38.8875,-77.0364,ABC8 (Richmond); Boston Globe; BuzzFeed; CBS17; CNN; Committee to Protect Journalists; Forbes; Fox45 (Baltimore); Fox8 (High Point); Insider; Liveuamap; MilitiaWatch; Morning News (Florence); MyTV Charleston; NBC News; NBC12; NBC5 (Fort Worth-Dallas); New York Times; News Leader (Staunton); Patriot-News; Political Research Associates; ProPublica; Rawstory; Sacramento Bee; Time Magazine; TribLive; Twitter; US Press Freedom Tracker; USA Today; Washington Examiner; Washington Post; WCAU; WFMZ-TV; WICU; Winston-Salem Journal; WITF; WJZ13; WLTX News 19; WSLS10; WTKR3; WUSA9,"On 6 January 2021, thousands to tens of thousands of people, many carrying firearms, demonstrated outside the Capitol in Washington DC - National Mall (District of Columbia) to support President Trump and his allegations of voter fraud in the presidential election and to call for members of Congress to object to the certification of the Electoral College votes. The demonstrators included veterans, lawmakers, off-duty police officers, at least one active-duty National Guardsman, members of several militias and far-right groups (Sons of Liberty New Jersey, Groypers, Oath Keepers, Proud Boys, Boogaloo Boys, Three Percenters (III%), Nationalist Social Club-13, Super Happy Fun America, The Patriot Boys of North Texas, B Squad, and Mamalitia), supporters of QAnon, and other groups, including 100 members of Moore County Citizens for Freedom and the organizers, The Silent Majority, the Eighty Percent Coalition, and the Sovereign Citizens Movement. Leading up to the event, President Trump hosted the 'Save America March' in front of the White House, calling for demonstrators to march to the Capitol building and 'fight like hell,' while Rudy Giuliani, President Trump's personal lawyer, called for 'trial by combat.' Over 100 Republican lawmakers were planning to object to the certification of the electoral college votes on that day. 1 IED was found on the Capitol grounds. Around 1 pm, hundreds of rioters stormed and occupied the US Capitol Building for 4 hours, disrupting the certification and causing the evacuation of lawmakers from the Congressional chambers. It has been found that the Proud Boys were key instigators in storming the Capitol and that the Oath Keepers had held training sessions for 'urban warfare, riot control, and rescue operations' in advance of the election. Prior to the riot, members of the Proud Boys had communicated over an encrypted channel to conspire to overwhelm police and obstruct Congress. It was later discovered that the rioters intended to kill Vice President Pence and wanted to shoot House Speaker Pelosi. When rioters pressed toward the Capitol, many Capitol Police officers simply retreated, not making any apparent effort to physically block rioters from gaining access to the Capitol building. One officer was even seen taking a picture with a rioter. Rioters outnumbered the Capitol Police, although there had been numerous warnings online about possible unrest. Some rioters scaled the sides of the Capitol building, broke windows, damaged doors and offices, and looted. One group constructed makeshift gallows in front of the Capitol. Rioters were tear-gassed, pepper-sprayed, and hit with pepper balls and smoke bombs by police. About 1100 troops from the National Guard were activated and deployed in the city by Vice President Mike Pence after the Capitol was breached. Some of the rioters inside the Capitol building had socks filled with metal objects and hit officers in the head, causing multiple injuries; others pepper-sprayed and hit officers and FBI agents with metal pipes and chemical irritants including bear-spray. Some rioters carried zip-tie handcuffs with them. Rioters assaulted and threatened at least 6 members of the media and destroyed media equipment outside. One journalist was hit with rubber bullets by rioters; others were briefly detained by police while covering the event. Two rioters and one police officer were killed as a direct result of the riot, while other two rioters succumbed to medical conditions. Of the rioters, Ashli Babbitt was shot by police while trying to climb through a broken door into the Speaker's Lobby, which would have given her access to the House of Representatives chamber. Another rioter, Rosanne Boyland, died due to an amphetamine overdose but the chaos of the events delayed medical attention and contributed to her death. Brian Sicknick, a Capitol Police officer, died after being dragged and beaten by rioters while defending the building. Nearly 140 police officers were injured and more than 1350 people have been arrested, including at least nine veterans and one woman who stole Nancy Pelosi's laptop with intent to sell it to Russian intelligence authorities. 35 Capitol Police officers are under investigation due to their actions during the riots and six officers have been suspended. Members of Congress reconvened around 8pm to certify President-elect Joe Biden's Electoral College victory. After the riot, at least four US Capitol Police Officers have committed suicide and multiple other officers have reportedly threatened self-harm.",3,armed; crowd size=thousands to tens of thousands; stop the steal
05 January 2021,2021,Women (United States); Proud Boys; Christian Group (United States); Oath Keepers,Protesters (United States),District of Columbia,District of Columbia,Washington DC,38.9171,-77.0003,ABC11; ABC13 (Lynchburg); Crowd Counting Consortium; Fox5 (Washington D.C.); Twitter; WFMY; WLTX News 19; WTOP Radio,"On 5 January 2021, hundreds of people organized by the Eighty Percent Coalition and Moms for America, including members of the Proud Boys and Oath Keepers, demonstrated in Washington DC (District of Columbia) in support of President Trump and his allegations of voter fraud during the presidential election, as well as against the electoral college vote taking place the next day. A group of religious Trump supporters also held a 'Jericho March' to support the President. Small groups of counter-demonstrators were also present and called for more economic relief amid the coronavirus pandemic, for another Paycheck Protection Program, and for more support from elected officials. Police sprayed demonstrators with pepper spray to attempt to disperse the crowds after Pro-Trump demonstrators assaulted police. 11 people were arrested late in the evening for a variety of charges, including assault and carrying firearms.",0,armed; counter-demonstration; crowd size=hundreds; stop the steal
12 December 2020,2020,Proud Boys,Antifa (United States); BLM: Black Lives Matter,District of Columbia,District of Columbia,Washington DC - Northwest,38.9381,-77.0451,ABC7 (Washington D.C.); Channel 8 (Lancaster); Guardian; MilitiaWatch; NBC4 (Washington D.C.); New York Times; News2Share; Twitter; USA Today; Washington Post; WICU; WTOP Radio,"On 12 December 2020, following a 'Million MAGA March' rally earlier in the day in support of President Trump and his allegations of voter fraud during the presidential election, members of the Proud Boys clashed with counter demonstrators supporting BLM and showing opposition to Trump and his supporters, among them anti-fascists, in Washington DC - Northwest (District of Columbia). Fights broke out between the two groups in several areas of the city. Pro-Trump demonstrators removed a BLM flag from outside the Asbury United Methodist Church and burned the flag. Police reported that three other churches were vandalized by the pro-Trump supporters. The vandalism incidents are being treated as hate crimes. People in support of BLM shot fireworks at the Trump demonstrators. Demonstrators also clashed with the police and hurled smoke bombs and water bottles at them. Police pepper sprayed demonstrators to disperse them. During an incident outside a bar dozens of pro-Trump supporters including members of Proud Boys punched and kicked a Black man in dark clothes. During the assault, the man reportedly produced a knife and stabbed the assailants, leaving four people with non life-threatening injuries. He was initially charged for the stabbings, but the police ultimately dropped the charges. A total of 33 people were arrested. A total of 8 police officers were also injured during the demonstrations.",0,counter-demonstration; crowd size=hundreds; stop the steal
05 December 2020,2020,Proud Boys; Back the Blue; Pro-Police Group (United States); Three Percenters (III%),Antifa (United States); BLM: Black Lives Matter; Journalists (United States); Civilians (United States),Minnesota,Ramsey,Saint Paul,44.9513,-93.0946,WCCO Channel 4; Twitter; St. Paul Pioneer Press; Political Research Associates; Channel 5 (Twin Cities); Unicorn Riot,"On 5 December 2020, an estimated 250 people from the Proud Boys, Three Percenters (III%) and Back the Blue movement gathered for a 'Stop the Steal' event outside of the Governor's residence in Saint Paul (Minnesota) to demonstrate against the Governor's new coronavirus mandates as well as the results of the presidential election. The demonstration was organized by Hold the Line MN. Around 100 anti-fascist and BLM counter demonstrators were also present and carried wooden shields. Police set up barricades between the two groups. A few physical scuffles occurred between the two groups. A journalist was among several people assaulted by attendees of the far-right event and two people were cited for disorderly conduct. 13 cars, some of which belonged to 'Stop the Steal' participants, were vandalized with Antifa graffiti and had their tires slashed.",0,counter-demonstration; crowd size=around 350; stop the steal
05 December 2020,2020,Antifa (United States),Unidentified Communal Militia (United States),Washington,Thurston,Olympia,47.0357,-122.9048,Liveuamap; Independent Media PDX; Political Research Associates; Twitter; Olympian; Idaho Press-Tribune; Count Love; Crowd Counting Consortium; Kitsap Sun,"On 5 December 2020, up to 200 people, some associated with Antifa, demonstrated in Olympia (Washington) as part of a 'Squash Fascists' rally held to counter a pro-Trump rally being held by right-wing demonstrators and members of an unidentified local militia group. Multiple instances of fighting with bats, bottles, rocks, chemical sprays, and guns were reported between the two groups. One right-wing demonstrator was arrested and charged with first-degree assault for firing a gun at the Antifa demonstrators, as well as second-degree assault for striking a demonstrator with his gun. Police said that video from the shooting appeared to show a person received a 'grazing' wound from the shooting, but that person has not yet come forward. Right-wing demonstrators also used paintball guns and smoke bombs. After the fight, some of the Antifa demonstrators marched through Olympia, followed by about 15 pro-Trump demonstrators.",0,armed; counter-demonstration; crowd size=up to 200
14 November 2020,2020,Oath Keepers; Proud Boys; Three Percenters (III%); Boogaloo Boys; QAnon; American Guard,BLM: Black Lives Matter; Antifa (United States); Civilians (United States); Journalists (United States),District of Columbia,District of Columbia,Washington DC,38.9171,-77.0003,WICU; Fox43; MilitiaWatch; NPR; Washington Post; News2Share; Twitter; WNCT; WAMU88.5; Vice News; Fox29,"On 14 November 2020, thousands of people held a 'Million MAGA March' and 'Stop the Steal' rally in Washington DC (District of Columbia) in support of President Trump and his allegations of voter fraud in the presidential election. The Proud Boys, Oath Keepers, Boogaloo Boys, Three Percenters (III%), American Guard and QAnon were also part of the march. 300 or so counter-demonstrators including people with Refuse Fascism and Antifa gathered to rally against President Trump and to show support for President-Elect Biden and the Black Lives Matter movement. Following an initially peaceful 'Stop the Steal' march, people including Proud Boys, Oath Keepers, and Three Percenters (III%) began rioting and fighting with other demonstrators. The two opposing groups engaged in fist fights and some people set off fireworks and sprayed irritants. Others used clubs and launched projectiles. A Trump supporter drove through the crowd with his car, but no one was injured. Multiple people were stabbed, including one reporter. One person was stabbed and taken to the hospital with serious injuries, but no information is available about the victim or the perpetrator. Four officers were also injured. Police attempted to disperse demonstrators with pepper spray and arrested at least 21 people.",0,car ramming; counter-demonstration; crowd size=thousands; stop the steal
14 November 2020,2020,Asian American Group (United States); Proud Boys,Antifa (United States),California,Sacramento,Sacramento,38.5799,-121.4962,Crowd Counting Consortium; ABC7 (San Francisco); ABC10 (Sacramento); KCRA3,"On 14 November 2020, hundreds of people rallied in Sacramento (California) in support of President Trump, a recount of the 2020 presidential election, and to demand the recalling of Governor Newsom. A number of Asian Americans and Proud Boys members attended. An unreported number of Antifa counter-demonstrators rallied against the Proud Boys. An altercation between Antifa demonstrators and some Proud Boys occurred. Allegedly, a Proud Boys member used 'bear spray' against Antifa demonstrators. At least two people were arrested. No serious injuries were reported.",0,counter-demonstration; crowd size=hundreds; stop the steal
08 November 2020,2020,BLM: Black Lives Matter,,Oregon,Multnomah,Portland - Northeast,45.5684,-122.6183,KOIN6,"On 8 November 2020, a small group of people marched in a demonstration from a park to the Multnomah County Democratic Headquarters in Portland - Northeast (Oregon). The demonstrators vandalized the Democratic Headquarters by breaking windows and spraying graffiti of an anarchy symbol, 'Fuck Biden,' and 'No good presidents.' Deleted social media posts claimed the event was 'anonymously organized' and 'in solidarity with BLM,' yet the group's specific motives are unknown. Police made three arrests.",0,crowd size=a small group
07 November 2020,2020,Government of the United States (2017-2021); GOP: Republican Party,BLM: Black Lives Matter,North Dakota,Burleigh,Bismarck,46.8088,-100.7825,INFORUM; Grand Forks Herald,"On 7 November 2020, a 'stand with Trump' demonstration, organized by GOP officials and featuring US Representative Kelly Armstrong as a speaker, was held in Bismarck (North Dakota), as about 300 demonstrators showed support for Donald Trump and claimed that election results were fraudulent. A handful of pro-Black Lives Matter demonstrators were also present - they interrupted by chanting 'Biden 2020.' A brawl broke out leaving several men with minor cuts and bloody noses, but no arrests were reported.",0,counter-demonstration; crowd size=about 300; stop the steal
04 November 2020,2020,LGBTQ+ (United States),,New York,New York,New York - Manhattan,40.7834,-73.9663,New York Times; Gothamist,"On 4 November 2020, hundreds of demonstrators gathered at the New York Public Library and then marched to Washington Park in New York - Manhattan (New York) for the 'We Choose Freedom' march in support of trans-rights. Demonstrators shut down traffic, chanted anti-police slogans, started garbage can fires, blocked subway entrances, threw garbage and eggs, and both demonstrators and cops shoved each other on and off the street and sidewalks while police tried to corral demonstrators, at least 58 people were arrested.",0,crowd size=hundreds
04 November 2020,2020,CPUSA: Communist Party of the United States of America,,Colorado,Denver,Denver,39.7392,-104.991,Colorado Newsline,"On 4 November 2020, hundreds of demonstrators, some from the Communist Party, marched through Denver (Colorado) to 'stop a fascist coup' during the 2020 presidential elections. Some demonstrators set off fireworks, spay-painted signs, set dumpsters on fire, and threw rocks to smash windows. SWAT police dispersed the crowd with tear gas, making several arrests. They shouted slogans against both election candidates.",0,crowd size=hundreds
03 November 2020,2020,Students (United States),,North Carolina,Wake,Raleigh,35.781,-78.6392,Crowd Counting Consortium; WRAL-TV5; News & Observer; ABC13 (Asheville),"On 3 November 2020, about 200 people including many students marched in Raleigh (North Carolina) in the wake of the presidential election. People began throwing fireworks and other items at the police and burned American flags. Six people were arrested.",0,crowd size=about 200
03 November 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),,Washington,King,Seattle,47.6056,-122.333,Crosscut; KOMO4; Seattle Times; US Press Freedom Tracker,"On 3 November 2020, two groups of pro-Black Lives Matter demonstrators marched in Seattle (Washington) to call for racial justice and an end to police brutality. The larger group, which grew to nearly 200, marched through the city and placed barricades, including nails. Police said a 'car brigade' associated with the demonstration drove over a barricade and through a police bike line, causing no injuries. Demonstrators denied that this happened. Police made eight arrests, including a driver associated with the demonstration and an individual arrested for damaging a parking meter with a hammer. During the demonstration, a journalist said that she was shoved off the sidewalk by a police officer while she was attempting to film an arrest.",0,crowd size=more than 200
31 October 2020,2020,LGBTQ+ (United States); QAnon,,California,Los Angeles,Beverly Hills,34.0743,-118.3982,Twitter; CBS2 (Los Angeles); ABC7 (Los Angeles),"On 31 October 2020, at least 4000 people staged a 'Freedom Rally' in Beverly Hills (California) in support of President Trump and against Governor Newsom. LGBT Trump supporters were present. Approximately 40 demonstrators attempted to get others to sign a 'QAnon Oath.' An unreported number of anti-Trump counter demonstrators were also present. There was a violent fight between the two groups. One pro-Trump demonstrator was injured after approaching the counter-demonstrators. Police officers in riot gear formed a line between the groups and declared an unlawful assembly. Police attempted to disperse counter-demonstrators who responded by moving cordons into the street. No arrests were made.",0,counter-demonstration; crowd size=at least 4000
30 October 2020,2020,BLM: Black Lives Matter; Teachers (United States),,Washington,Clark,Vancouver,45.6333,-122.6,Count Love; Fox News; WOWT NBC Omaha; Columbian,"On 30 October 2020, hundreds of people held a vigil in Vancouver (Washington) in support of the Black Lives Matter movement and against police brutality, specifically the death of Kevin E. Peterson Jr., who was killed in a police altercation during the night of 29 October 2020. Some of Peterson's teachers attended the vigil. The vigil was met with right-wing counter demonstrators, some with pro-Donald Trump flags, and some armed with firearms. The counter demonstrators shouted at those who were demonstrating against Peterson's death. During the demonstrations two shots were fired, though who fired the shots is unclear and no injuries were reported. The BLM demonstrators then marched through downtown Vancouver, some breaking windows and burning flags. Police officers in riot gear prevented them from approaching a federal building and declared an unlawful assembly. Six demonstrators were arrested for failure to disperse.",0,armed; counter-demonstration; crowd size=hundreds
27 October 2020,2020,Civilians (United States),,New York,Kings,New York - Brooklyn,40.6904,-73.9862,Spectrum News NY1; Fox5 (New York); CBS2 (New York),"On 27 October 2020, about 200 people marched in New York - Brooklyn (New York) over the death of Walter Wallace Jr. in Philadelphia. The demonstration turned violent after demonstrators smashed windows, started fires, and sprayed graffiti around downtown. 32 people were arrested. One NYPD spokesperson said a car attempted to drive through a group of cops at one point, causing some minor injuries. Several videos posted on social media show the driver clearly telling officers 'I'm just trying to go home' before officers let the driver close the door and drive away. Seconds later, officers used batons to smash the car's windows and that's when the driver drove away unharmed. 30 police officers were treated at hospitals for minor injuries from having rocks and bricks throw at them.",0,crowd size=about 200
27 October 2020,2020,Civilians (United States); Journalists (United States),,California,Los Angeles,Los Angeles - Central,34.0693,-118.3118,ABC7 (Los Angeles); USA Today,"On 27 October 2020, hundreds of Dodgers fans rallied in Los Angeles - Central (California) in celebration of the baseball team's World Series victory. People turned violent when a dumpster was set on fire, various storefront windows were broken, and shops were looted. At least four stores were vandalized. At one point people surrounded a semi-truck, opened the trailer door and began stealing packages while others attempted to enter the cab. The Los Angeles Police Department responded by deploying its riot team that marched through the streets and fired stun grenades. In Echo Park, officers allegedly aimed weapons at a small group of 'press and community members.' Officers used non-lethal rounds on demonstrators. At least one press member was hit by a 'less lethal' round. Officers allege that people threw bottles at them. At least three officers sustained injuries and one police vehicle was damaged.",0,crowd size=hundreds
27 October 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),Civilians (United States); Labor Group (United States),Pennsylvania,Philadelphia,Philadelphia,39.9525,-75.1636,Bellingcat; CBS3 (Philadelphia); Crowd Counting Consortium; New York Times; Twitter; Washington Examiner; WCAU,"On 27 October 2020, about 500 people demonstrated in Philadelphia (Pennsylvania) in support of the Black Lives Matter movement and against the death of Walter Wallace Jr., a Black man who was killed by police. Later in the evening, people set fires and threw rocks, water bottles, and other projectiles at the police officers and injured 30 officers, including one who was hospitalized with a broken leg after being hit by a truck. A man with an axe charged at police and axed the front of a police car. People reported police officers using force against journalists, smashing windows of cars, and beating demonstrators with batons. Police reported a crowd of approximately 1000 people looting a shopping area. Some looters reportedly shot live rounds at other looters, injuring at least 11 people. No fatalities were reported. 81 people were arrested by police.",0,armed; car ramming; crowd size=around 500-1000
26 October 2020,2020,BLM: Black Lives Matter; Civilians (United States),,Pennsylvania,Philadelphia,Philadelphia,39.9525,-75.1636,CBS3 (Philadelphia); Fox29,"On 26 October 2020, about 300 people marched in Philadelphia (Pennsylvania) in reaction to police having shot and killed a Black man who had a knife, Walter Wallace Jr., hours earlier. Demonstrators set a police car and dumpsters on fire, threw projectiles at officers, and smashed windows at a police station. Over 30 people were arrested for looting, rioting, and assaulting officers. Thirty officers were injured during the demonstration, including one who was struck by a car. One woman who was not participating in the demonstration was assaulted by a police officer alongside her son and nephew when she drove toward the demonstration and was swarmed by police after she attempted to turn around. Police struck her repeatedly and she was hospitalized for her injuries. One officer was later fired and charged with assault. Dozens of people were arrested.",0,crowd size=about 300
20 October 2020,2020,PSL: Party for Socialism and Liberation,,Rhode Island,Providence,Providence,41.8238,-71.4125,Fox Providence; Crowd Counting Consortium,"On 20 October 2020, hundreds of people gathered for a rally organized by the Party for Socialism and Liberation in Providence (Rhode Island) demanding justice for an individual who was hit and seriously injured by a police officer while on a moped. Demonstrators later set off fireworks injuring a police officer and 21 people were arrested.",0,crowd size=hundreds
17 October 2020,2020,Students (United States),,Illinois,Cook,Evanston,42.0411,-87.6901,Chicago Tribune,"On 17 October 2020, 300 students of Northwestern University and led by Northwestern University Community Not Cops, gathered in front of Foster-Walker Complex before marching to the house of the University President in Evanston (Illinois) demanding that the school cut ties with the campus police department. Some from the group also spray-painted local businesses, smashed a grocery store window and placed a burned school banner outside of the university president's home.",0,crowd size=300
11 October 2020,2020,Native American Group (United States),,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,KGW8; Oregonian; CNN,"On 11 October 2020, about 200 to 300 rioters gathered for an 'Indigenous Peoples Day of Rage' in Portland - Downtown (Oregon). The rioters toppled statues of Theodore Roosevelt and Abraham Lincoln as well as broke windows of Oregon Historical Society building and shot out windows of at least one local business. 3 people were arrested the following day in connection with damage.",0,crowd size=about 200 to 300; statue
07 October 2020,2020,Jewish Group (United States),Civilians (United States); Journalists (United States),New York,Kings,New York - Brooklyn,40.6904,-73.9862,New York Post,"On 7 October 2020, hundreds of members of the Borough Park Orthodox Jewish community continued to stage the demonstration in New York - Brooklyn (New York) against the coronavirus restrictions like shutting down of schools, limitations in houses of worship and shutting down of non-essential businesses. A reporter for Jewish Insider was hit in the head and dragged by the demonstrators before being helped by the police. The police arrested Heshy Tischler, a prominent member of the Orthodox Jewish community under the charge of inciting a riot.",0,crowd size=hundreds
06 October 2020,2020,Jewish Group (United States),,New York,Kings,New York - Brooklyn,40.6904,-73.9862,New York Post,"On 6 October 2020, hundreds of members of the Borough Park Orthodox Jewish community staged a demonstration in New York - Brooklyn (New York) against the new state mandated restrictions amid the coronavirus pandemic, like shutting down of schools, limitations in houses of worship and shutting down of non-essential businesses. The demonstration turned violent after the crowd lit a fire and chased away two city sheriff's deputies who had responded to the fire.",0,crowd size=hundreds
26 September 2020,2020,BLM: Black Lives Matter,,Kentucky,Jefferson,Louisville,38.2542,-85.7594,WKYT; WNKY NBC40,"On 26 September 2020, hundreds marched in Louisville (Kentucky) in support of the Black Lives Matter movement and against the grand jury decision to not indict police officers on criminal charges in relation to the death of Breonna Taylor, after she was killed by police. Demonstrators set fires and launched fireworks, burning a car. Windows at the nearby Spalding University and Presentation Academy buildings were broken. About 100 demonstrators took shelter at a church that had been a refuge for the demonstrators after curfew for the past couple of nights. Police claimed 25 people were arrested during the demonstrations.",0,crowd size=hundreds
26 September 2020,2020,BLM: Black Lives Matter,,North Carolina,Wake,Raleigh,35.781,-78.6392,ABC11,"On 26 September 2020, hundreds of people marched, broke glass, set fires, threw fireworks at officers, and defaced property in Raleigh (North Carolina) in reaction to the grand jury decision to not indict police officers on criminal charges in relation to the death of Breonna Taylor, after she was killed by police and in support of Black Lives Matter movement. Some people were arrested on various charges including public disturbance and unlawful assembly.",0,crowd size=hundreds
26 September 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,NewsChannel 21; US Press Freedom Tracker; Crowd Counting Consortium,"On 26 September 2020, several hundred people demonstrated in the evening in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. The demonstration turned violent when demonstrators shot fireworks at police while officers tackled demonstrators and detained some of them, arresting three. A journalist reported being shoved and that police 'brutally' bull-rushed at demonstrators. Another journalist reported being hit with batons and shoved to the ground despite being clearly labeled as press, sustaining injuries that required medical attention. A third journalist was arrested.",0,crowd size=several hundred
26 September 2020,2020,Proud Boys,,Oregon,Multnomah,Portland - North,45.5761,-122.7246,Oregonian; Vice News; NBC Nebraska 2; KOIN6,"On 26 September 2020, about 1,000 Proud Boys and MAGA activists gathered in Delta Park in Portland - North (Oregon) to hold a 'End Antifa' rally in support of President Donald Trump's re-election campaign and to call for an end to 'domestic terrorism'. One Proud Boys supporter attacked a 'livestreamer' pushing them to the floor and kicking them in the face. Three demonstrators were issued criminal citations for possession of loaded firearms in public. There were also some verbal clashes between Proud Boys supporters and self-described antifa members who came to the park. A demonstration in support of BLM was being held three miles away but no interaction between the demonstrations were reported.",0,armed; crowd size=about 1000
26 September 2020,2020,BLM: Black Lives Matter; Sole Perpetrator (United States),American Guard,California,Orange,Yorba Linda,33.8888,-117.8146,ABC7 (Los Angeles); San Diego Union-Tribune; Orange County Register; Arizona Central,"On 26 September 2020, around 250 people rallied in Yorba Linda (California). An unreported number of demonstrators staged a 'March 4 Equality' rally along Imperial Highway in support of the Black Lives Matter movement and against police brutality. The groups Urban Organizers Coalition and Caravan 4 Justice organized the event. Counter demonstrators were also present including an unreported number of Trump supporters, one of whom crossed the Imperial Highway to verbally confront BLM demonstrators. A woman allegedly with the Urban Organizers Coalition drove a white sedan through a crowd of Trump supporters, leaving at least two Trump supporters seriously injured and hospitalized: one man with two broken legs and a woman with 'major injuries.' Demonstrators chased the car. Sheriff's deputies arrested the woman for attempted murder and assault with a deadly weapon. The two groups engaged in a physical altercation and multiple people were pepper sprayed by an alleged member of the American Guard. Deputies then declared the assembly unlawful. At least one person was arrested for failure to disperse.",0,car ramming; counter-demonstration; crowd size=around 250
25 September 2020,2020,BLM: Black Lives Matter,,California,Alameda,Oakland,37.8044,-122.2711,KTLA5; KTVU Fox2,"On 25 September 2020, more than 250 marched from the Lake Merritt amphitheater toward City Hall and Frank Ogawa Plaza in Oakland (California) in support of the Black Lives Matter movement and against police brutality and Wednesday's ruling on the fatal police shooting of Breonna Taylor. The demonstration turned violent when demonstrators threw bottles and cans at officers and erected road barricades. Officers responded by deploying 'minimal smoke.' Multiple people were arrested for assaulting officers.",0,crowd size=more than 250
24 September 2020,2020,,,Oregon,Multnomah,Portland - North,45.5761,-122.7246,Q13 Fox; KOMO Radio News,"On 24 September 2020, people gathered outside police union headquarters in Portland - North (Oregon) in support of the Black Lives Matter movement and in the wake of a Kentucky Grand Jury's decision not to indict any officers involved over the killing of Breonna Taylor. Demonstrators set fire to the building, vandalized walls with graffiti and stopped traffic prompting police to make 14 arrests.",0,crowd size=roughly 200
24 September 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),Private Security Forces (United States),Washington,King,Seattle,47.6056,-122.333,Capitol Hill Seattle Blog; Twitter; KIRO7; Political Research Associates; Fox5 (New York); Crowd Counting Consortium,"On 24 September 2020, a few hundred demonstrators rallied in Seattle (Washington) during a demonstration in support of the Black Lives Matter movement after a court's decision not to indict any of the 3 officers involved in the killing of Breonna Taylor with charges related to her death. One police officer ran over a demonstrator with a bicycle and was later placed on administrative leave until an investigation could be carried out. Demonstrators also threw explosives at officers, causing injuries to several. During the demonstration, a security guard of a restaurant repeatedly pointed his handgun at multiple demonstrators. There were no shots fired. At least six demonstrators, including at least one journalist with Omari Salisbury's Converge Media, were arrested on charges including obstruction of justice and failure to disperse.",0,armed; armed presence; crowd size=a few hundred
23 September 2020,2020,BLM: Black Lives Matter,,California,Santa Clara,San Jose,37.334,-121.891,San Francisco Chronicle; ABC7 (San Francisco),"On 23 September 2020, about 200 people rallied outside City Hall in San Jose (California) in support of the Black Lives Matter movement and against police brutality and Wednesday's ruling on the fatal police shooting of Breonna Taylor. More than 100 demonstrators marched to the Thomas Fallon Statue in downtown San Jose. Some demonstrators spray painted and set the statue on fire.",0,crowd size=about 200
23 September 2020,2020,BLM: Black Lives Matter,,Washington,King,Seattle,47.6056,-122.333,King5; KOMO Radio News,"On 23 September 2020, roughly 200 people in Seattle (Washington) in support of the Black Lives Matter movement and in the wake of a Kentucky court's decision not to indict any officers involved over the killing of Breonna Taylor. Police reported people throwing fireworks, glass bottles and fire extinguisher at police officers. At least six people were arrested on disorder and assault charges.",0,crowd size=roughly 200
